Theme,Sub Theme,Feature Name,Co-ordinates,,IMAGEURL
Place of Worship,Church,Our Lady of Lebanon Church,"-37.8025766539683, 144.969334720932",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRjDL1XLzpu3spIz3_7L9QCjQ1zjxts8qNlbkQy_WxnzzZxCYd196y5aV2goA&amp;s
Place of Worship,Church,St Alban Anglican Church,"-37.7942169477929, 144.94161451392",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNiBa8sEOtgUXtwtXP9ZXZ4thpqFhpypP-WcnNF6YP_UUv5crzFe7ogokWQg&amp;s
Place of Worship,Church,Christ Church Kensington,"-37.7932109480553, 144.92729572288",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRwl__MPVIAgfBcndR8GYBwFyWoixFAeYUFaen-rL_3JV4Cme344naztd8Q5Q&amp;s
Place of Worship,Church,Holy Rosary,"-37.7948087414394, 144.928362125005",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTMMOx7wfJ4rXZSreLrWI9y_h3Z8OsfWcc4sYluUb7j5gTxmkI3sHSX1j0Ds_Q&amp;s
Health Services,Private Hospital,Melbourne Private Hospital,"-37.7983111309698, 144.95728837725",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTGNRvAtChHi-hm7nUSUUox-_4dbGRgDdcsuY5b_wNMFlJcrddU5Pxuzpnr&amp;s
Community Use,Police Station,Victoria Police,"-37.8003121288849, 144.954697453742",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTv_4LTdwLkCoXgDNonj1uEL5C508RQzzr1fDD9azPUpTj3Svfbe_414ScjJg&amp;s
Community Use,Police Station,Victoria Police,"-37.8219773910249, 144.953398014034",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTv_4LTdwLkCoXgDNonj1uEL5C508RQzzr1fDD9azPUpTj3Svfbe_414ScjJg&amp;s
Leisure/Recreation,Private Sports Club/Facility,Royal Park Golf Course,"-37.7819171308558, 144.956309119368",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRj-ydgVDQ6yJTB_9XnHMHNkk_Ovgh36DSXf8q1cIgAkhSCpfENXFplpQFbLdM&amp;s
Leisure/Recreation,Major Sports & Recreation Facility,Visy Park,"-37.7834303940347, 144.961982577553",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRhPs6LPHDsggx0z2M8Q_BvNcZ8FXRl_SQGixib0n967LwWxkdXISd-Wk_skA4&amp;s
Place Of Assembly,Art Gallery/Museum,Old Melbourne Gaol Crime & Justice Experience,"-37.8077644149636, 144.965463853978",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRJpxU4nxZpm16uqsY42edXnXXjegtt4hqT2fXWLL9w9xZiLi_-qMgrTMkNrfY&amp;s
Place Of Assembly,Theatre Live,Playhouse,"-37.8218124583016, 144.968337832721",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRu5hZiYma99EeLhIjFnImjQ65BmnWrgEmsBi92cJjSyLpYqe_A7dzQYgpgiA&amp;s
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Batman Park,"-37.8218460949601, 144.956665812218",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRXV5Yc0TYrEUz5ERJRVe9Dm05LXxxh8RcEEblzRd9cT27VwUHnSSuV7V3nusY&amp;s
Office,Office,Australian Red Cross,"-37.7990921023192, 144.952635945774",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSbvzki9SJfnrfydID_TJz8ulhPp2Jw5M_vQkN_P7y2r2qGmR9l2twEgWJ95WI&amp;s
Place Of Assembly,Function/Conference/Exhibition Centre,Melbourne Exhibition Centre,"-37.8252455123297, 144.95435243249",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRhZM45JuU4Mfi40JFCiifpxd0Z64_P9NAX5uh-z3SB1_yHB7thXYW_M4m-Ey4&amp;s
Place Of Assembly,Art Gallery/Museum,Polly Woodside,"-37.8242574266145, 144.953478052064",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTb9JHlPw5e9o8mZ1F4m-ak-N1lKjYnMzzIBDiHEUHOGD8SZh_5dZeVSI1L_S0&amp;s
Place Of Assembly,Art Gallery/Museum,Victorian Arts Centre,"-37.8219947335768, 144.968837288153",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSo57Y3nbL8HbQ6vB7OsyK_a7Z_h7PJoydLho1M8X6K56-wmYoi82jkEfo_Ooo&amp;s
Community Use,Public Buildings,Melbourne Town Hall,"-37.8150754791411, 144.966542722283",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR3PmsUhn1LHWhJhUNljjrkTMrTJcFYPBZG116coecYUUzH52OVPncIQq4sbg&amp;s
Mixed Use,Retail/Office,DFO South Wharf,"-37.824887401234, 144.949794297819",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRM8mrnJO_9xO6UzWUse88-YvbCGCwKYTO4d_3vxuy-gxDxSze0Z6y0wu6mOpk&amp;s
Community Use,Public Buildings,Sidney Myer Music Bowl,"-37.8233471608733, 144.974686151365",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQJL7hA-so3PBn37r0tTAT67nTdCp0UI_Ho67OULUTOqD7dnTgebn3osp9ylgk&amp;s
Health Services,Public Hospital,The Royal Victorian Eye & Ear Hospital,"-37.8087522829868, 144.976268275082",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSSxWqzDwCdjqZLb35iWxabYYI5loBw67K5-AmqRgup8knEJpHkvmyWBDbDWg&amp;s
Place Of Assembly,Art Gallery/Museum,The Ian Potter Centre: NGV Australia,"-37.8174831423197, 144.969899048343",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRLeZ2zXhj8IrdfgsNBgZoG8QMhw4f6Z9b32KGJNR1U66dNbjM8xjrg87bQnA&amp;s
Purpose Built,Film & RV Studio,Channel 7 - Melbourne Broadcast Centre,"-37.8158572333481, 144.94582326909",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQlLGz_Qef65EYsoTHdetAjly_7x3EJGl1qpiqUTAfxDJX-fFgBf_cx4jElhj4&amp;s
Vacant Land,Current Construction Site,Harbour Town,"-37.8139256326845, 144.938123825625",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRpp3vkGUGLPqHVKyMb-fyDu908Ws2VgHj20iclAecAoOaFKnKET63k7JT1C2I&amp;s
Leisure/Recreation,Major Sports & Recreation Facility,AAMI Park,"-37.8247252673963, 144.98380297866",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSeS7h8SBRLaOpjhP7QNo4U7ZervMwNx4bnZpGQmg662PWQjp3BNBkpjnc-Sw&amp;s
Place Of Assembly,Function/Conference/Exhibition Centre,Central Pier,"-37.8165177307702, 144.943475014215",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQglxoLD4r1515fQDMKhY6X6sjnwIbHSSDsINoC9m2AUwIgjVimsXXRMHzXGg&amp;s
Leisure/Recreation,Observation Tower/Wheel,Melbourne Star Observation Wheel,"-37.8116163666726, 144.937588920436",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRsxz9becxR06JBFBwiMNf9ERwLPuKjDk6tf_-_RkbvcTGLPQE3QNZhfyW2I-8&amp;s
Education Centre,Further Education,Kangan Batman Tafe,"-37.8221818203024, 144.948908460665",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQLzqSon7Ub91VQNhuKHXmrUugrlG-af1KvLgco0ybV1RY_3VAYRZzVqppuL1Y&amp;s
Leisure/Recreation,Major Sports & Recreation Facility,Margaret Court Arena,"-37.8213252086842, 144.977591098955",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVwGFt-Q-cMVwoNelQGMuKmyS50cxROvCmiGBnJJ2MRKHnJzMP68QY08aFZA&amp;s
Place Of Assembly,Theatre Live,MTC Theatre,"-37.8242661832902, 144.968174400274",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1iO4b7BM2bt9_xONfZ5ZctCOnlo08qEufWlOYuOR-Hl6wYaoDsafpJHqxzQ&amp;s
Community Use,Public Buildings,NGV International,"-37.8230135000869, 144.969342535451",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQMNMBGUzA-IYe-6QokgeE3KGIq3wq_R5tVv5gVHrKK3K_e1NiJu7HgMba-cg&amp;s
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Birrarung Marr,"-37.81806108403, 144.97314667014",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQl4SwqU0tboAALU27zDHSyzeFst_zSxBw6Wj9L3prw_7GrjSJk6RkgRXvRag&amp;s
Leisure/Recreation,Indoor Recreation Facility,Artplay,"-37.8184198800044, 144.971542586509",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT7Z8-7ie3pYWzcfQAqeIL7yKWkZ3ZqfnvCf1y0YOxgQ8uJYWbRJMYFp28y5eU&amp;s
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Riverslide Skate Park,"-37.8207887122448, 144.972951789291",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT39ySX1318jN2nzX7wx-P9RwxAItNkzTUcc9kuNcMJn6L-R6uRml4zEzVCCYE&amp;s
Transport,Railway Station,Macaulay Railway Station (North Melbourne) - Train stop,"-37.794964001386, 144.936190756632",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSy8yeJ8cT3cXAimIkcK03NtKsC8VYAq2HbuVRofbsrdnv0sOrpTFV16Ahp0j4&amp;s
Transport,Railway Station,Kensington Railway Station,"-37.7939140126373, 144.930710207518",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR-XGdtDS9_XeU2DmVScEymDqmPwEut_xkCwpVUzWi4CerC6YGziZZL6Ju8dLA&amp;s
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Royal Park,"-37.7906174256581, 144.953834240647",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRUPBwZhkaL1kXW25K_pinhYLLCp-e5nQmVNIm1jo-IzrycYWZ1VOxW7AuoNg&amp;s
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Shrine of Rembrance Reserve,"-37.8320733992876, 144.973628364465",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT6Un4b2qJQcmzMK1vhH4zDU7RXdWU9_Ww92v4In_tEzJC0kpHWdwco-x7-uGI&amp;s
Residential Accommodation,Dwelling (House),Government House,"-37.8275635886174, 144.976655130464",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSz2U0YTrOgHpGQIxD_l35JxatwqklmwCCTUTSSjP38zxU9WY2HvU9GBMqi3c0&amp;s
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Royal Botanic Gardens,"-37.8306631583233, 144.980850432751",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTxzBj5PoYvh3zQErt_vlSH_DyOF0yRQLKi81pSvEG_IvTtq42dBp-a9-zMLQ&amp;s
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Yarra Park,"-37.820469374101, 144.986671109615",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT23RGFmCwZkcFkitnPDcqWf7MfHdkvmLXJH_j_6nNufi3_nlhXK3Ol2dIMdA&amp;s
Office,Office,Coronial Services Centre of Victoria,"-37.8243437355246, 144.96447462898",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQK4H1Uk4jE3_33-a2UCr0S_kqfiJMn8jCj4MNJVWMyDPpMTOudj2vO8tPpn8I&amp;s
Leisure/Recreation,Indoor Recreation Facility,Icehouse,"-37.8121881194053, 144.935684018873",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSH8SdfZjsn1puYKB1_RVKzOokG9MlRAbgvteWy7NNLpZ8rUCBsIybx38hwpg&amp;s
Transport,Railway Station,Parliament Railway Station,"-37.8127621113552, 144.973433796529",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSXe9jy75jgdGMYG9vclc9GC3IgJ1uZMhA0rXcgCDSQCcnvuARqhKlhbub9h2I&amp;s
Transport,Railway Station,Parliament Railway Station,"-37.8095762219384, 144.972330132127",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSXe9jy75jgdGMYG9vclc9GC3IgJ1uZMhA0rXcgCDSQCcnvuARqhKlhbub9h2I&amp;s
Transport,Railway Station,Melbourne Central Railway Station,"-37.8097759325888, 144.962670059539",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTdXLiPkUvX07mu1sVAWSmUt87tCxbrzl4nJmCOG3UzEi2lg2EDVu5IlcbXNw&amp;s
Transport,Railway Station,Flemington Racecourse Railway Station,"-37.7869105822519, 144.908190706069",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQGqZs0-rD6sg1RAKe9MZ_GHEKfMEafP0a-ixyIvxRoOqzywh4T7xgg2zfkg&amp;s
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Darling Square,"-37.81299206932, 144.989062559512",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSoigJI5qEs8XRsIWfeizBCZIbvPak7049x0IF8CkwB0TrM_1lCS1tGWbtNjA&amp;s
Place Of Assembly,Art Gallery/Museum,Victoria Police Museum,"-37.8222182774409, 144.954039975197",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQn-qhOW6dCSn0hriy6X9XGf9eV_uRS8poW2S0ylwbV-CwpM0XsdYUauZilLw&amp;s
Place Of Assembly,Art Gallery/Museum,Immigration Museum,"-37.8191798798062, 144.960426777129",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1RgEdWCOMyoKRzJzguoZKQ42USf4QJGFvMuJZtrZjfAa0MdDVnjC-1W53VA&amp;s
Place of Worship,Church,St Pauls Cathedral,"-37.8169549012399, 144.967681647402",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQymypYfUw42jJhNXDsLpRJqrUyqTZYQohkg89HTFHLumGiBxjfKb8uGEZP8A&amp;s
Warehouse/Store,Store Yard,Melbourne Wholesale Fish Market,"-37.8083471006041, 144.930613255612",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTck87YD6OOx7lq1WMjqQh5lXTvRlY4q9NVN8IQca9LN7CZeXyYw_EZp_TSBA&amp;s
Place Of Assembly,Art Gallery/Museum,Fire Services Museum Victoria,"-37.8085761281612, 144.975373745366",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSRPvu9TQ2UliJ2fD20_KGvrfIAGU1uxKfPwhgP4WX0z-m_JRO18TbZvuKgMg&amp;s
Place Of Assembly,Art Gallery/Museum,The Ian Potter Museum Of Art,"-37.7973939595503, 144.964156669702",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTOd9wNrvSo44Omfw_4bP6PRg5_DDMVe5P2NFwL3_iDSRa9eE5ecSJa5s9gTw&amp;s
Education Centre,Tertiary (University),University of Melbourne,"-37.7982892284927, 144.96099520158",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRjnODeoNCNBBwlFoPB_ZIqzuMBylARV-1yVEUgOK4VKBEbPtMXDZepmWwziw&amp;s
Mixed Use,Retail/Office/Residential/Carpark,QV Village,"-37.8106891897454, 144.965714574014",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSjVKmSdPqjTDAzI-Q6ezxoMwOfdkgRnri7LC5coQDFCvF7jeEX-u3sOU53tA&amp;s
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Parliament Reserve,"-37.809852620638, 144.973462202839",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS58d0lgBzJzvs-Xk-2lObNpx_i7XvMNI1T7_u6NWYUnsDu5_1uCrNxyJF0-A&amp;s
Leisure/Recreation,Major Sports & Recreation Facility,North Melbourne Recreation Centre (Aquatic),"-37.7999470049655, 144.943290801869",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSke044H9tl8WptVNx6UiEs04awzq7PSxZnFw8V8Fiji4wFkIafzImvGh4raQ&amp;s
Office,Office,North Melbourne Football Club,"-37.799771364073, 144.940963510723",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRO4RPIpHvHOGC2L8T0OTGmwkcc8Mt4fPiWCOFKIx2qFeJL-jP4YAntX9S3TQ&amp;s
Leisure/Recreation,Gymnasium/Health Club,North Melbourne Recreation Centre (Gymnasium),"-37.7997051197931, 144.940368286395",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTFk5ZWsbmEbYZEgEZw8Feqiq0UYjPNHHAzydw5dThKQJUwLczCKMqw4sshJyQ&amp;s
Leisure/Recreation,Indoor Recreation Facility,Carlton Baths,"-37.7934377042609, 144.971696548624",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8nrDCQR0yEfgEUQCNEHcGPzRg--ISZsPGMOXAkglZMgrsjc84BQM2b-Rf8Dg&amp;s
Community Use,Public Buildings,Conservatory,"-37.814002127195, 144.9785597431",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRlnnxznd4PDEFuZjkqZotOsi91OYp5a8e4xW_PEmPFopVdW8LLxhwNQkzziVE&amp;s
Mixed Use,Retail/Residential,Eureka Tower,"-37.8215157539717, 144.964456721965",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSOM81MGAzI4BJxWBTuzjb3gkirSEa7jz5nVSpoPSPo65qWTOFB47PArURkMQ&amp;s
Mixed Use,Retail/Office/Residential/Carpark,Freshwater Place,"-37.8219745489446, 144.96246144843",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJiImxzYAWFS5Ccn0F3_9nMQ0TYx_BhNso-7fUnwIywwms0exOpBfblGxjfg&amp;s
Community Use,Visitor Centre,Melbourne Visitor Centre,"-37.8177352402006, 144.967937138226",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR2qfZjCuEuw1SOmdDpwGVxFLnWfFkwclvUEPTEtaAGz-gsX3SbJdiUj9ivjlc&amp;s
Place Of Assembly,Art Gallery/Museum,Australian Centre For The Moving Image (ACMI),"-37.8176107327202, 144.969070431323",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTognygb2WpIBOawcO3qDLsqy-6k1mjjogme1nPtYA1A3f5JnsKbMN7xK9Aag&amp;s
Place Of Assembly,Function/Conference/Exhibition Centre,Dallas Brooks Centre,"-37.8097374138234, 144.981383411592",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRKZUmySiFJlgSXbAMA1PICMMwF8Ve24cwhe9pXvQRW-Xx6FeiIgn0iiKKq-g&amp;s
Place Of Assembly,Library,The Melbourne Athenaeum Library,"-37.8148855756416, 144.967291289941",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTo4JUoeVwbVEfnlcDwD_h2OMfhwFAfp5MCssyPK29_gGI_B2X2zmV83-wNtg&amp;s
Place of Worship,Church,Romanian Orthodox,"-37.8052307297468, 144.966986444597",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRNakRaax0LUhg6ZxmvCpw-rMRSl0b7pDBBdwGNAtcnTZjnwuybTt8QI1djmQ&amp;s
Place of Worship,Church,Welsh Presbyterian Church,"-37.8104478768313, 144.959873260087",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTqnXXzDErYOqTsGWuGlqdjfkdKO6_NOchBH4BazyF0Ni9IFtLFMmxmISRaUw&amp;s
Place of Worship,Church,St Peter's Eastern Hill,"-37.8097086714637, 144.975259178609",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSXkGMsfDVSn7-DqbmVnzV79L5a8nnQwebAdhCvaBICkpYWbHDzxUCN-IxphS4&amp;s
Place of Worship,Church,Lutheran Trinity Church,"-37.8109757054396, 144.975729473552",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRVHds-eWpFt9oXVbPFrNCseD0y2Joa_p8e-RUctnMDhnPGEQkIWHEUP-OVRA&amp;s
Place of Worship,Church,St Johns Lutheran Church,"-37.8209399677168, 144.967121099857",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQQinVJZWHI-TY70t5H1XBC1qKHhPTV1C7EgPtmSafZv8BLy8x66Dq3QkEdLsI&amp;s
Place of Worship,Church,St Michaels,"-37.7940512679297, 144.945399480629",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQxkrA1EbZf9fYu1pFzOo1_76xX8fRaFA8lZdhiKvXH8Y3M4QR8RQX19RaH7A&amp;s
Place of Worship,Church,Ukranian Catholic Cathedral,"-37.7963084580345, 144.944313454028",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSu7pUFH6IjxVLn5eMmTiHeyer6gb7xRADXwhiiGTbN_BWN0PEcn3o1FxeEKg&amp;s
Place of Worship,Church,Collins Street Baptist Church,"-37.8147011904647, 144.968072486031",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRE4SRI3JXbWCrYSg7a98SFwZ0XgGHwfKdahHtxdMFovvjUb5k_hNlt17Sm8w&amp;s
Place of Worship,Church,St Thomas Aquinas Church,"-37.8353076902578, 144.976809080472",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR-m-S83xAI4RPT2SWnLFCd0q_CqWcQaF3SY59VNOn1exgV2cKmKMchG05OZR0&amp;s
Place of Worship,Church,The Parish of Christ Church South Yarra,"-37.8386270533576, 144.986009385387",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR0udnos8QibL7l2GjtvO-ORR9BW1OjYhBrnIil1Pikc-BSExZK1NPHqP2MDMU&amp;s
Community Use,Police Station,Victoria Police,"-37.8164849024046, 144.966486801188",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTv_4LTdwLkCoXgDNonj1uEL5C508RQzzr1fDD9azPUpTj3Svfbe_414ScjJg&amp;s
Community Use,Visitor Centre,Melbourne Visitor Booth,"-37.8139525061193, 144.964425882562",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSWvm49hwCcWvOpCTp_9jeCWEIuttl3w6Ej5kuGdVR_LQeC-7Peix9-eYq3eA&amp;s
Leisure/Recreation,Major Sports & Recreation Facility,State Netball Hockey Centre,"-37.7857860016289, 144.947580972027",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQlSssM6N_ZaZ-GqxbWPjAsW2V9mTuCeaRw0PGOfr9xvnirZK2nv7PXWJoSzg&amp;s
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),University Square,"-37.800410711209, 144.960398319302",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNQ6nr9EwXAJsSu8Vtlw3c27Rp4UHAfzqi6V9Q6J4HzbHtcm8B73AT08z4Zg&amp;s
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Powlett Reserve,"-37.8116929882498, 144.987275671763",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRm9mr5D0a6ksZKbQRfg15k2GecHOQYyfPRs1epp-2nUMYcV77i0WkuleP0tsE&amp;s
Community Use,Cemetery,Melbourne General Cemetery,"-37.7891890023616, 144.965785979892",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT7rgtQzkZk5Gi7flH8tbGhXU_o5yYaWsc15KTHo-3T3qscEQXoafLUCubpBQ&amp;s
Retail,Retail,Queen Victoria Market,"-37.8075002018073, 144.957158515056",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT63tHcLELNaAtKA-yfBVzJTFmA8A5fhn2ScJ6vwiBjza_6qBQMaLeopbsGSg&amp;s
Education Centre,Primary Schools,Carlton Primary School,"-37.7959079757171, 144.970147317976",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ9uCH3UIgNgFy8tmRZV8miRhf0WXM_J_CYXyClXcjnXBPwAHc3LG_6VG5F9w&amp;s
Education Centre,School - Primary and Secondary Education,Wesley College,"-37.8485201804496, 144.982227770988",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_NrUslhwoomk2YpnJv2-XjkkLEN_Vm4yj0haYho7l-ZtciqkbgZCjr_JYBQ&amp;s
Place Of Assembly,Theatre Live,State Theatre,"-37.8212806349773, 144.968469643744",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR2_qzhhWM1v583DcZqgKG9uw8k6tUsKblupbuW3ZCfGgCkSoCMAkvaZUf_w4Q&amp;s
Education Centre,Tertiary (University),University of Melbourne (VCA and Music),"-37.8241137662047, 144.96933253996",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSlg-eBBdcDs3fUc0uhB5GZczKpYLjJAnqmMddIKkLq4PxDnOWVkd2kRcPcIA&amp;s
Place Of Assembly,Theatre Live,St Martins Youth Arts Centre,"-37.8352429531289, 144.98114217385",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTCrOLPpd_6tQpHrcRPQ5ZLJNF8K4KJqwr7t4y8b-IDv_UmIqpQHEWBAZJoMA8&amp;s
Transport,Railway Station,Southern Cross Railway Station,"-37.8181633057171, 144.952944748845",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT9ODjz6F-TsgGNEmGJibLVNf2K8PvIpc2w9Ij7e6-1NX7CriT_GLXqEV7htFA&amp;s
Place Of Assembly,Theatre Live,Princess Theatre,"-37.8107257091302, 144.9723265962",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqWdlRWlkZWC_erLTrBHUobLL2vnRqNGAQV8z3VNoltf1L3-nUhK3ohdFjSVY&amp;s
Education Centre,Secondary Schools,University High School,"-37.7973136216903, 144.956034449946",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSoYRf3wJzun7CplDoJBqhih8rMtOdcQrbh5FlHj2K4yQpLcOh08yblAuDz8EA&amp;s
Community Use,Public Buildings,State Library Victoria,"-37.8099852201226, 144.964330322397",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-N85HpQ-MGl3QXFv4TnFiFMK-NtohI-62KAGp39sDAamv8I86POPrsWKB6Dc&amp;s
Place Of Assembly,Theatre Live,Regent Theatre,"-37.8160014744179, 144.967916735261",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR4O71sxU-2Y6Cv5EibTAWxZLTuJqKgWC4I55Z7P84b3eJspj5lYuxdlvRyUw&amp;s
Office,Office,Old Treasury Building,"-37.8132371662585, 144.974423610255",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTsHRXBcj0yYCrYs1ono_drAz8WTJDs5o-wuhqYOsUvZvDstyTyEYmYrUJd6g&amp;s
Community Use,Public Buildings,Supreme Court,"-37.8141494182814, 144.957894024264",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSEK5_qx5bVBwzSAXq8Z9ji7G1-b97gVmS-OTjlUS44SmiqlvU1HiFKvc3lbw&amp;s
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Richmond Football Club,"-37.8216740022008, 144.988156318781",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJw9V-7Gk9Ye7Wwe1ryFTxFWt69z0nXGreJ2Frcvd0SdyPf1_VrDsbg39KOA&amp;s
